center,left,right,steering,throttle,reverse,speed
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_58_450.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_58_450.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_58_450.jpg,0,0,0,3.63E-06
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_58_523.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_58_523.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_58_523.jpg,0,0,0,2.46E-06
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_58_594.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_58_594.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_58_594.jpg,0,0,0,1.71E-07
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_58_662.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_58_662.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_58_662.jpg,0,0,0,1.17E-06
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_58_730.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_58_730.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_58_730.jpg,0,0,0,1.02E-06
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_58_802.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_58_802.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_58_802.jpg,0,0,0,1.79E-06
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_58_870.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_58_870.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_58_870.jpg,0,0,0,5.69E-06
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_58_939.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_58_939.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_58_939.jpg,0,0,0,1.99E-06
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_006.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_006.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_006.jpg,0,0,0,9.31E-06
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_075.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_075.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_075.jpg,0,0,0,5.69E-06
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_142.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_142.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_142.jpg,0,0,0,5.62E-06
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_212.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_212.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_212.jpg,0,0,0,9.55E-06
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_286.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_286.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_286.jpg,0,0.0451287,0,0.01269375
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_354.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_354.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_354.jpg,0,0.250017,0,0.1360792
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_426.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_426.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_426.jpg,0,0.4660842,0,0.4744007
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_496.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_496.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_496.jpg,0,0.6407733,0,0.8999184
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_572.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_572.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_572.jpg,0,0.9028437,0,1.660913
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_644.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_644.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_644.jpg,0,1,0,2.602356
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_713.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_713.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_713.jpg,0,1,0,3.304612
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_783.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_783.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_783.jpg,0,1,0,4.243649
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_855.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_855.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_855.jpg,0,1,0,4.942968
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_927.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_927.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_927.jpg,0,1,0,5.869129
E:\racing team\car task\data\IMG\center_2023_09_20_22_09_59_999.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_09_59_999.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_09_59_999.jpg,0,1,0,6.559052
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_070.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_070.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_070.jpg,0,1,0,7.47269
